Date,ULSP_Price,ULSD_Price,Price,Open,High,Low,Oil_Price,Inflation,Year
2022-04-01,1.618,1.7612,1.29,1.3,1.3,1.29,0.1708805031446541,7.8,2022
2022-05-01,1.6584,1.7970599999999997,1.25,1.25,1.25,1.24,0.2194968553459119,7.9,2022
2022-06-01,1.83825,1.922925,1.23,1.23,1.24,1.22,0.2265408805031446,8.2,2022
2022-07-01,1.89425,1.978425,1.2,1.2,1.21,1.19,0.2079874213836478,8.8,2022
2022-08-01,1.75172,1.86562,1.2,1.2,1.2,1.19,0.1777987421383647,8.6,2022
