Date,ULSP_Price,ULSD_Price,ULSP_Duty,ULSD_Duty
2021-03-22,1.2457,1.2902,0.5795,0.5795
2021-03-29,1.2513,1.2932,0.5795,0.5795
2021-04-05,1.2524,1.2935,0.5795,0.5795
2021-04-12,1.254,1.2938999999999998,0.5795,0.5795
2021-04-19,1.2548,1.2949000000000002,0.5795,0.5795
2021-04-26,1.258,1.2977,0.5795,0.5795
2021-05-03,1.2609,1.3,0.5795,0.5795
2021-05-10,1.2653,1.3043,0.5795,0.5795
2021-05-17,1.2719,1.3103,0.5795,0.5795
2021-05-24,1.2789,1.3152,0.5795,0.5795
2021-05-31,1.2815,1.3182,0.5795,0.5795
2021-06-07,1.2869,1.3238,0.5795,0.5795
2021-06-14,1.2947,1.3317,0.5795,0.5795
2021-06-21,1.301,1.3369,0.5795,0.5795
2021-06-28,1.3073,1.3427,0.5795,0.5795
2021-07-05,1.317,1.3413,0.5795,0.5795
2021-07-12,1.3247,1.3529,0.5795,0.5795
2021-07-19,1.332,1.3595,0.5795,0.5795
2021-07-26,1.3348,1.362,0.5795,0.5795
2021-08-02,1.3421,1.3688999999999998,0.5795,0.5795
2021-08-09,1.347,1.3731,0.5795,0.5795
2021-08-16,1.3477,1.3677,0.5795,0.5795
2021-08-23,1.3468,1.3715000000000002,0.5795,0.5795
2021-08-30,1.3466,1.3711000000000002,0.5795,0.5795
2021-09-06,1.3476,1.3719,0.5795,0.5795
2021-09-13,1.3475,1.3719,0.5795,0.5795
2021-09-20,1.3486000000000002,1.3735,0.5795,0.5795
2021-09-27,1.3519,1.3795,0.5795,0.5795
2021-10-04,1.361,1.392,0.5795,0.5795
2021-10-11,1.3717,1.4066,0.5795,0.5795
2021-10-18,1.3946,1.4319,0.5795,0.5795
2021-10-25,1.4181,1.459,0.5795,0.5795
2021-11-01,1.4369999999999998,1.4748,0.5795,0.5795
2021-11-08,1.449,1.4884,0.5795,0.5795
2021-11-15,1.4587,1.4975999999999998,0.5795,0.5795
2021-11-22,1.4689,1.5073,0.5795,0.5795
2021-11-29,1.4753,1.5131,0.5795,0.5795
2021-12-06,1.4689,1.5061000000000002,0.5795,0.5795
2021-12-13,1.4622,1.4988,0.5795,0.5795
2021-12-20,1.4516,1.4889,0.5795,0.5795
2021-12-27,1.4491999999999998,1.4882,0.5795,0.5795
2022-01-03,1.4504,1.4885,0.5795,0.5795
2022-01-10,1.4482,1.4865000000000002,0.5795,0.5795
2022-01-17,1.4480000000000002,1.487,0.5795,0.5795
2022-01-24,1.4487,1.4881,0.5795,0.5795
2022-01-31,1.4574,1.4968,0.5795,0.5795
2022-02-07,1.4633,1.503,0.5795,0.5795
2022-02-14,1.4694999999999998,1.511,0.5795,0.5795
2022-02-21,1.4777,1.5195,0.5795,0.5795
2022-02-28,1.4922,1.5336,0.5795,0.5795
2022-03-07,1.5295,1.5856,0.5795,0.5795
2022-03-14,1.5996,1.6948,0.5795,0.5795
2022-03-21,1.6537,1.7747,0.5795,0.5795
2022-03-28,1.6265,1.7644,0.5295000000000001,0.5295000000000001
2022-04-04,1.6191,1.76,0.5295000000000001,0.5295000000000001
2022-04-11,1.6178,1.7622,0.5295000000000001,0.5295000000000001
2022-04-18,1.6166999999999998,1.7593,0.5295000000000001,0.5295000000000001
2022-04-25,1.6184,1.7633,0.5295000000000001,0.5295000000000001
2022-05-02,1.6247999999999998,1.7706,0.5295000000000001,0.5295000000000001
2022-05-09,1.6368,1.7838999999999998,0.5295000000000001,0.5295000000000001
2022-05-16,1.6509,1.7967,0.5295000000000001,0.5295000000000001
2022-05-23,1.6759,1.8116,0.5295000000000001,0.5295000000000001
2022-05-30,1.7036000000000002,1.8225,0.5295000000000001,0.5295000000000001
2022-06-06,1.7499,1.8494,0.5295000000000001,0.5295000000000001
2022-06-13,1.8253,1.9043,0.5295000000000001,0.5295000000000001
2022-06-20,1.8685,1.9487,0.5295000000000001,0.5295000000000001
2022-06-27,1.9093,1.9893,0.5295000000000001,0.5295000000000001
2022-07-04,1.9155,1.9922,0.5295000000000001,0.5295000000000001
2022-07-11,1.9063,1.9874,0.5295000000000001,0.5295000000000001
2022-07-18,1.8892,1.9753,0.5295000000000001,0.5295000000000001
2022-07-25,1.866,1.9588,0.5295000000000001,0.5295000000000001
2022-08-01,1.8277,1.9304,0.5295000000000001,0.5295000000000001
2022-08-08,1.7763999999999998,1.8849,0.5295000000000001,0.5295000000000001
2022-08-15,1.7419,1.8516,0.5295000000000001,0.5295000000000001
2022-08-22,1.7113999999999998,1.8292,0.5295000000000001,0.5295000000000001
2022-08-29,1.7012,1.832,0.5295000000000001,0.5295000000000001
2022-09-05,1.6893,1.8282,0.5295000000000001,0.5295000000000001
2022-09-12,1.6761,1.8222,0.5295000000000001,0.5295000000000001
2022-09-19,1.6547,1.8113,0.5295000000000001,0.5295000000000001
2022-09-26,1.64,1.8046,0.5295000000000001,0.5295000000000001
2022-10-03,1.6266999999999998,1.8004,0.5295000000000001,0.5295000000000001
2022-10-10,1.6209,1.8076,0.5295000000000001,0.5295000000000001
2022-10-17,1.6281,1.8186,0.5295000000000001,0.5295000000000001
2022-10-24,1.6462,1.873,0.5295000000000001,0.5295000000000001
